temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,26.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,26.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,26.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,27.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,28.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,29.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,30.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,31.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,32.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,33.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,33.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,33.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,34.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,34.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
,,,,,,,,,,,34.0,0.0,0.0,Batu Pahat,Batu Pahat,Johor
