temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,46.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,47.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,47.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,48.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,56.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,55.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,54.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,64.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,53.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,51.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,49.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,48.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,47.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,48.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,47.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,46.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,48.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,49.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,50.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
,,,,,,,,,,,52.0,0.0,0.0,Taman Bukit Rambai,Bandaraya Melaka,Melaka
