temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
26.5,1009.64,22.0,76.0,6.0,,26.5,0.0,28.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
28.0,1010.64,22.5,72.0,6.0,,28.0,1.5,31.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
30.0,1010.64,24.5,72.0,1.0,,30.0,4.0,35.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
30.0,1011.64,26.0,79.0,9.0,,30.0,7.0,37.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
30.5,1010.64,25.5,74.5,13.0,,30.5,9.5,37.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
31.0,1010.14,25.5,72.5,14.0,,31.0,11.0,38.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
32.0,1009.64,26.0,70.5,16.0,,32.0,10.5,40.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
31.5,1008.64,26.0,72.5,17.0,,31.5,7.5,39.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
31.0,1007.64,26.0,75.0,17.0,,31.0,4.5,39.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
31.0,1007.64,26.0,75.0,18.0,,31.0,2.5,39.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
30.0,1007.64,25.5,76.5,15.0,,30.0,0.5,36.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
29.0,1008.64,25.0,79.0,10.0,,29.0,0.0,34.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
29.0,1009.14,25.5,81.5,9.0,,29.0,0.0,35.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
29.0,1010.14,26.0,84.0,5.0,,29.0,0.0,36.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
29.0,1010.64,26.0,84.0,5.0,,29.0,0.0,36.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
29.0,1010.64,26.0,84.0,2.0,,29.0,0.0,36.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
28.666666666666668,1010.64,26.0,85.66666666666667,1.3333333333333333,,28.666666666666668,0.0,35.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
28.5,1010.64,26.0,86.5,0.0,,28.5,0.0,34.5,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
28.0,1010.14,25.0,84.0,3.0,,28.0,0.0,32.0,9.0,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
27.5,1009.64,25.0,86.5,7.5,,27.5,0.0,31.5,8.5,,,0.0,0.0,Batu Maung,Bayan Lepas,Pulau Pinang
